Profundidad,Abies,Acacia,Agave,Alnus oblongifolia,Anisacanthus type,Arbutus,Berberis,Bursera,Bursera laxiflora,Bursera microphylla,Cactoideae,Canotia type,Ceiba,Celtis,Cf. Populus,Cylindropuntia,Dasylirion,Desmanthus,Dodonaea viscosa,Ephedra,Fraxinus,Juglans,Juniperus,Mimosa,Opuntia,Parkinsonia aculeata,Picea,Pinus,Prosopis,Prunus,Quercus,Rutaceae,Salix,Sambucus type,Tecoma stans,Acanthaceae,Allionia,Amaranthaceae,Ambrosia,Apiaceae,Artemisia ludoviciana,Asteroideae,Boerhavia type,Boraginaceae,Brassicaceae,Callaeum macropterum,Caryophyllaceae,Cichorioideae,Cirsium,Clematis,Convolvulaceae,Crassulaceae,Croton type,Cucurbitaceae,Cyperaceae,Dalea,Dicliptera,Eriogonum,Eustoma,Euphorbiaceae,Euphorbia ,Evolvulus,Faboideae,Gentianaceae,Hibiscus type,Ipomoea,Justicia californica,Kallstroemia ,Lamiaceae,Lippia type,Lotus type,Lythrum,Manihot,Marina,Mitracarpus,Monocotyledoneae,Nama,Oenothera,Onagraceae,Plantago,Poaceae,Poaceae >60µm,Polemoniaceae,Polygonum,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Solanaceae,Sida,Sphaeralcea type,Tetramerium nervosum,Tribulus ,Trixis californica,Typha tetrads,Typha monads,Urtica,Verbenaceae,Zea mays,Zygophyllaceae,Adiantum,Anemia,Asplenium ,Botrychium,Cheilanthes,Gymnocarpium,Lygodium cf.,Monoleta,Ophioglossum,Osmunda,Reticulate trilete,Selaginella,Pellaea,Spore trilete without perine,Unknown trilete,Indeterminados,Indeterminables
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0,0,0,0,1.307,0,0,0,0.98,0,0,0.654,0,10.131,0.327,0,14.379,0,0,0.327,0,0,0,5.882,20.261,0,2.941,8.497,0.327,0,0,0,0.327,0,0,0,0,0,0,0,3.268,0,0,0,0,0.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.569,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,5.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.288
213,0,0,0,2.208,0,0,0,0,0,0.631,0,0.315,0,0,0,0,0,0,0.946,0,0,0,0.315,0,0,0,0,12.618,0,0,17.981,0,0,0,0,0,0,5.678,20.505,0,5.994,4.101,0.315,0,0,0,0,0,0,0,0,0,0,0,2.524,0,0,0,0,1.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0,0,0,0,0,2.524
216,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0.664,0,0,0,0,0.664,0,0,0,0.664,0,0,0.332,0,10.631,0.332,0,21.262,0,0,0,0,0,0,8.638,20.93,0,6.312,4.983,0,0,0,0,0,0.332,0,0,0,0,0,0,2.326,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.279,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,0,0.332,2.658
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0.333,0,19.667,0,0,0,0,0,0,5.333,20.333,0,4.667,6.333,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.667,0,0.333,0,0,0,0,0,0,0,0.333,0,0.667,0,0,0,0,0,0,0,0,17.333,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.333
222,0,0,0,0.324,0,0,0,0,0,0,0,0,0,0.647,0,0,0,0,0,0,0,0,0,0,0,0,0,12.298,0.324,0,18.123,0,0,0,0,0,0,9.385,18.77,0,1.942,4.531,0,0,0,0,0,0,0,0,0,0,0,0,4.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0,0,0,0,0,0,0,0,22.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.265
225,0,0,0,1.656,0,0,0,0.331,0,0,0,0.331,0,0.331,0,0,0,0,0.331,0,0,0,0,0,0,0,0,16.225,0,0,18.543,0,0,0,0,0.331,0,6.291,16.225,0,5.298,7.947,0,0,0,0,0,0,0,0,0,0,0,0,1.987,0,0,0,0,0.662,0,0,0,0,0,0,0,0,0,0,0,0.993,0,0,0,0,0,0,0,0,17.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331,0,0,0,0,0,0,0,0,0.331,0,0,0.331,0,0,0.331,0,0,0.331,0,0,3.311
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,11.551,0,0,17.162,0,0,0.33,0,0,0,5.611,19.802,0.33,4.95,6.601,0.33,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0.66,0.33,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,17.162,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,5.941
231,0,0,0,1.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.811,0,0,16.014,0,0.356,0,0,0,0,7.117,15.302,0,6.406,7.473,0.356,0,0,0,0,0,0,0,0,0,0,0,5.694,0,0,0,0,0.356,0,0,0,0,0,0.356,0,0,0,0,0,0,0,0,0.712,0,0,0,0,0,17.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712,0,0,0,0,0,6.762
234,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.724,0,0,19.655,0,0,0,0,0,0,6.552,16.552,0,3.103,6.897,0,0,0,0,0,0,0,0,0,0,0,0,5.172,0.345,0,0,0,1.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.379,0,0,0,0,0,4.828
237,0,0,0,0.331,0,0,0,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.576,0,0,16.887,0,0,0,0,0,0,11.258,17.881,0,5.298,3.974,0.331,0,0,0,0,0,0.331,0,0,0,0,0,4.636,0,0,0,0,0.993,0,0,0,0,0,0,0,0,0,0,0,1.325,0,0,0,0,0,0,0,0,14.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.285
